1,U+1F600,😀
2,U+1F603,😃
3,U+1F604,😄
4,U+1F601,😁
5,U+1F606,😆
6,U+1F605,😅
7,U+1F923,🤣
8,U+1F602,😂
9,U+1F642,🙂
10,U+1F643,🙃
11,U+1FAE0,🫠
12,U+1F609,😉
13,U+1F60A,😊
14,U+1F607,😇
15,U+1F970,🥰
16,U+1F60D,😍
17,U+1F929,🤩
18,U+1F618,😘
19,U+1F617,😗
20,U+263A,☺
21,U+1F61A,😚
22,U+1F619,😙
23,U+1F972,🥲
24,U+1F60B,😋
25,U+1F61B,😛
26,U+1F61C,😜
27,U+1F92A,🤪
28,U+1F61D,😝
29,U+1F911,🤑
30,U+1F917,🤗
31,U+1F92D,🤭
32,U+1FAE2,🫢
33,U+1FAE3,🫣
34,U+1F92B,🤫
35,U+1F914,🤔
36,U+1FAE1,🫡
37,U+1F910,🤐
38,U+1F928,🤨
39,U+1F610,😐
40,U+1F611,😑
41,U+1F636,😶
42,U+1FAE5,🫥
43,U+1F636 U+200D U+1F32B U+FE0F,😶‍🌫️
44,U+1F60F,😏
45,U+1F612,😒
46,U+1F644,🙄
47,U+1F62C,😬
48,U+1F62E U+200D U+1F4A8,😮‍💨
49,U+1F925,🤥
50,U+1FAE8,🫨
51,U+1F60C,😌
52,U+1F614,😔
53,U+1F62A,😪
54,U+1F924,🤤
55,U+1F634,😴
56,U+1F637,😷
57,U+1F912,🤒
58,U+1F915,🤕
59,U+1F922,🤢
60,U+1F92E,🤮
61,U+1F927,🤧
62,U+1F975,🥵
63,U+1F976,🥶
64,U+1F974,🥴
65,U+1F635,😵
66,U+1F635 U+200D U+1F4AB,😵‍💫
67,U+1F92F,🤯
68,U+1F920,🤠
69,U+1F973,🥳
70,U+1F978,🥸
71,U+1F60E,😎
72,U+1F913,🤓
73,U+1F9D0,🧐
74,U+1F615,😕
75,U+1FAE4,🫤
76,U+1F61F,😟
77,U+1F641,🙁
78,U+2639,☹
79,U+1F62E,😮
80,U+1F62F,😯
81,U+1F632,😲
82,U+1F633,😳
83,U+1F97A,🥺
84,U+1F979,🥹
85,U+1F626,😦
86,U+1F627,😧
87,U+1F628,😨
88,U+1F630,😰
89,U+1F625,😥
90,U+1F622,😢
91,U+1F62D,😭
92,U+1F631,😱
93,U+1F616,😖
94,U+1F623,😣
95,U+1F61E,😞
96,U+1F613,😓
97,U+1F629,😩
98,U+1F62B,😫
99,U+1F971,🥱
100,U+1F624,😤
101,U+1F621,😡
102,U+1F620,😠
103,U+1F92C,🤬
104,U+1F608,😈
105,U+1F47F,👿
106,U+1F480,💀
107,U+2620,☠
108,U+1F4A9,💩
109,U+1F921,🤡
110,U+1F479,👹
111,U+1F47A,👺
112,U+1F47B,👻
113,U+1F47D,👽
114,U+1F47E,👾
115,U+1F916,🤖
116,U+1F63A,😺
117,U+1F638,😸
118,U+1F639,😹
119,U+1F63B,😻
120,U+1F63C,😼
121,U+1F63D,😽
122,U+1F640,🙀
123,U+1F63F,😿
124,U+1F63E,😾
125,U+1F648,🙈
126,U+1F649,🙉
127,U+1F64A,🙊
128,U+1F48C,💌
129,U+1F498,💘
130,U+1F49D,💝
131,U+1F496,💖
132,U+1F497,💗
133,U+1F493,💓
134,U+1F49E,💞
135,U+1F495,💕
136,U+1F49F,💟
137,U+2763,❣
138,U+1F494,💔
139,U+2764 U+FE0F U+200D U+1F525,❤️‍🔥
140,U+2764 U+FE0F U+200D U+1FA79,❤️‍🩹
141,U+2764,❤
142,U+1FA77,🩷
143,U+1F9E1,🧡
144,U+1F49B,💛
145,U+1F49A,💚
146,U+1F499,💙
147,U+1FA75,🩵
148,U+1F49C,💜
149,U+1F90E,🤎
150,U+1F5A4,🖤
151,U+1FA76,🩶
152,U+1F90D,🤍
153,U+1F48B,💋
154,U+1F4AF,💯
155,U+1F4A2,💢
156,U+1F4A5,💥
157,U+1F4AB,💫
158,U+1F4A6,💦
159,U+1F4A8,💨
160,U+1F573,🕳
161,U+1F4AC,💬
162,U+1F441 U+FE0F U+200D U+1F5E8 U+FE0F,👁️‍🗨️
163,U+1F5E8,🗨
164,U+1F5EF,🗯
165,U+1F4AD,💭
166,U+1F4A4,💤
